id,itjobs_slug,linkedin_slug,landing_slug,teamlyzer_slug
125,truphone,truphone,truphone,truphone
126,,ernstandyoung,ey,ey
127,armis-sistemas-de-informacao,armis,,armis
128,7egend,7egend,,7egend
129,frotcom-international,frotcom-international,frotcom-international,frotcom-internacional
130,phc-software,phc-software,phc-software,phc-software
131,babel-sistemas-de-informacao,babel,babel,babel-sistemas-de-informacao
132,uniplaces,uniplaces,uniplaces-f0e0d4ff-1a99-4ba6-8f66-e4d87c54939d,uniplaces
133,runtime-revolution,runtime-revolution,runtime-revolution,runtime-revolution
134,timestamp-sistemas-de-informacao-sa,timestampgroup,,timestamp
135,alert-life-sciences-computing-sa,alert-life-sciences-computing-s.a.,,alert-life-sciences-computing
136,ibm-portugal,ibm,,ibm-portugal
137,fraunhofer-portugal,fraunhofer-portugal,,fraunhofer-portugal
138,caixa-geral-de-depositos,caixageraldedepositos,cgd,banco-caixa-geral-de-depositos
139,quidgest,quidgest,,quidgest
140,integrity-consulting-advisory,integrity-s.a.,,integrity
141,adquam-human-capital,adquam,,adquam-human-capital
142,nos-comunicacoes,nos-sgps,,nos
143,opensoft-solucoes-informaticas-sa,opensoft,opensoft,opensoft
144,ebankit-omnichannel-innovation,ebankit,,ebankit
145,marionete,marionete,,marionete
146,habber-tec,habber-tec-portugal,,habber-tec-portugal
147,readiness-it,readinessit,,readiness-it
148,definedcrowd,definedcrowd,definedcrowd,definedcrowd
149,hccm-consulting,hccmconsulting-company,,hccm-consulting
150,ubiwhere,ubiwhere,,ubiwhere
151,la-redoute-portugal,la-redoute-portugal,,la-redoute-portugal
152,experis,experis,manpowergroup,experis-manpower-group
153,inoweiser,inoweiser,,inoweiser
154,sibs,sibs,sibs,sibs
155,rumos-servicos-ti,rumos,,grupo-rumos
156,xing-portugal,xing,xing,xing
157,vision-box,vision-box,vision-box,vision-box
158,retail-consult,retail-consult-sa,,retail-consult
159,load-interactive,load-digital,,load-interactive
160,eficaz,maiseficaz,,mais-eficaz
161,think-attitude,thinkattitude,,think-attitude
162,gmv,gmv,gmv,gmv
163,wodify-technologies,wodify,wodify,wodify
164,,ren,,ren
165,ankix,ankixsystems,,ankix
166,anf-associacao-nacional-das-farmacias,anf,,associacao-nacional-de-farmacias-anf
167,amt-consulting,amt-consulting-lda,,amt-consulting
168,eurotux,eurotux-sa,,eurotux
169,kelly-services,kellyservices,,kelly-services
170,fct–fundacao-para-ciencia-e-tecnologia-fccn,fundação-para-a-ciência-e-a-tecnologia-fct-,fct-fccn,fundacao-para-a-ciencia-e-a-tecnologia-fct
171,reditus-business-solutions,reditus-consulting-s-a-,,reditus
172,procensus,procensus-consultores,,procensus
173,,banco-best,,banco-best
174,worten,worten,worten,worten
175,creativesystems,creativesystems,,creative-systems
176,worldit-sistemas-de-informacao,worldit,,worldit
177,artsoft,artsoft,,artsoft
178,parfois,parfois,parfois,parfois
179,,unipartner-it-services,,unipartner
180,edigma,edigma,,edigma
181,e-near,e-near,,enear
182,winning-management-consulting,winning-scientific-management,,winning
183,,lnec,,lnec
184,banco-primus-sa,banco-primus,,banco-primus
185,dixtior-consulting,dixtior,,dixtior
186,celfinet-consultoria-em-telecomunicacoes,celfinet,celfinet,celfinet
187,,utrust-payments,utrust,utrust
188,vakt,vakt,vakt,vakt
189,innovagency-resources,innovagency,innovagency,innovagency
190,,the-navigator-company,,the-navigator-company
191,hydra-it,hydra-it,,hydra-it
192,msg-life-iberia,msg-life-iberia,,msg-life
193,seedrs,seedrs,seedrs,seedrs
194,hitachi-vantara,hitachi-vantara,hitachi-vantara,hitachi-vantara
195,,montepio,,banco-montepio
196,damia-group-portugal,damia-group-portugal,,damia-group-portugal
197,wondercom,wondercom,,wondercom
198,create-it,create-it,,create-it
199,wtvision,wtvision,wtvision,wtvision
200,passio-consultoria-e-engenharia,passio---consultoria-e-engenharia-lda,,passio
201,lisbon-nearshore,lisbon-nearshore,,lisbon-nearshore
202,polarising,polarising,polarising,polarising
203,,hewlett-packard-enterprise,,hewlett-packard-enterprise-hpe
204,reloading,reloading,,reloading
205,unit4-portugal,unit4,,unit4
206,caixa-magica,caixa-magica-software,,caixa-magica
207,imaginary-cloud,imaginary-cloud,imaginary-cloud,imaginary-cloud
208,neyond,neyond,,neyond
210,veniam,veniam,veniam,veniam
211,tekever,tekever,tekever,tekever
212,cloudflare,cloudflare,cloudflare,cloudflare
213,,springer-nature,springer-nature,springer-nature-portugal
214,devexperts,devexperts,devexperts,devexperts
215,,tblx,tb-lx-by-daimler-trucks-buses,dtb-tech-data-hub
216,,opplane,opplane,opplane
